5494;2006;4
831;3434;3
2968;1926;4
5953;1026;4
5256;2439;4
1285;2231;4
2901;349;4
4103;1821;2
195;712;3
5996;963;2
4245;1117;3
5197;1193;5
5282;1991;3
1741;1368;4
1932;580;4
4318;348;4
1796;217;4
3775;1197;4
3099;1975;2
716;742;5
1071;584;5
1119;2920;5
3681;3463;4
3367;2826;4
673;341;1
854;979;3
2878;3584;4
2899;3012;3
3391;2584;5
2638;3106;1
2478;2799;4
1437;288;5
5854;1941;4
3471;2561;3
3267;2893;4
3119;3584;4
4725;573;3
5420;950;4
1852;2811;3
1680;1194;5
2664;2183;3
543;1144;5
2092;50;5
3032;374;5
793;1957;5
5623;1105;4
4675;502;4
1053;2884;3
117;148;3
2077;540;4
2272;3442;4
2208;1731;4
2909;3469;3
4136;3136;4
5915;704;1
824;2524;5
601;993;3
3163;1306;5
5886;1965;2
4600;2958;4
1010;2531;3
5795;167;1
160;467;4
494;137;5
1164;2137;3
3830;1558;4
1339;973;3
869;369;3
4275;347;4
2051;519;2
5668;1866;4
516;1121;3
2592;738;5
5065;1461;1
2929;2749;4
1680;2761;5
2890;1275;3
1613;3399;3
2474;2420;4
5910;1295;4
1541;2652;4
3299;1118;5
3831;2190;1
5888;1575;2
5464;1112;4
3963;2709;2
899;502;4
3907;575;5
1252;2910;4
1948;467;4
1059;3103;2
1328;254;5
3361;2984;2
4023;1167;5
4596;1111;4
4179;1395;4
1784;2402;4
4708;949;3
2439;1790;2
3483;266;3
4543;1151;4
1600;2066;2
3945;2177;3
5502;2786;5
1449;1214;3
1775;1537;3
2583;1538;5
1096;2232;3
2962;3026;2
3217;103;3
4400;3051;3
5111;654;5
3418;857;3
2907;3488;3
5714;764;2
5726;662;4
770;461;5
4829;254;5
5279;2839;4
3824;3443;3
1394;2456;1
1749;2056;1
3227;1108;4
5847;318;5
2575;2867;3
985;982;5
264;330;3
4508;415;3
3358;1935;3
731;1612;2
4726;352;3
855;890;4
2020;1248;3
6002;2335;4
6036;208;2
225;2945;5
4169;2232;4
2498;2560;3
546;3393;4
3791;288;5
4505;1216;5
952;310;4
1586;924;5
3900;859;5
3698;2508;3
5878;1260;4
4517;1874;2
2166;1738;4
2407;1148;4
1505;1187;5
5675;2142;3
4637;2960;5
4279;1130;5
4366;2839;5
3892;1161;5
42;2179;4
2592;3287;3
1298;397;4
4186;198;2
3942;358;1
2011;990;3
3719;2899;5
419;1108;5
4107;2060;3
1298;545;3
550;961;3
959;2100;5
5167;945;4
2175;633;4
2265;2848;4
5011;983;4
2237;271;4
260;3499;4
4647;1885;2
3858;909;5
1189;2776;3
4951;3134;4
3780;1969;3
2304;1307;4
3394;803;5
4643;584;3
1946;1131;4
2841;300;4
300;1059;4
4808;1275;3
1632;1821;1
2221;2131;2
1880;156;3
3971;1105;4
839;2666;3
5841;526;5
5350;1278;2
3330;2508;3
6007;3119;3
5795;2560;1
1780;2978;3
4832;1179;4
4601;320;2
2795;1224;5
4819;2588;1
2133;3511;3
241;1026;5
357;347;2
4848;2518;2
2784;3310;5
2730;1132;5
4213;1683;4
5771;1156;3
4163;2163;4
6000;2524;5
1958;2281;2
5703;3137;4
1883;3108;3
5005;1009;4
4379;1567;4
1274;2799;2
678;348;3
2852;2447;4
3690;767;2
558;1777;5
1211;510;3
1294;2719;4
4523;2441;3
1926;1785;4
5747;2737;4
3081;1278;5
5282;39;5
5316;2749;5
264;2122;3
3539;3163;3
1419;3280;5
4041;1938;5
2753;259;4
2092;1575;2
5947;908;4
3412;1517;4
3769;800;4
5708;1125;4
2180;2330;1
5468;1200;4
3067;2045;3
5054;467;5
911;1162;4
2304;1956;3
1502;1450;5
1356;2013;3
5659;1;4
1837;1934;4
3880;3190;5
1004;1259;2
5306;760;4
4645;2794;5
2468;3166;3
2302;2808;3
4094;3562;4
4169;255;4
6000;1098;4
1354;978;4
5728;573;3
3946;1960;4
1850;3372;2
1892;2886;4
308;1343;4
5113;3461;2
3189;1224;3
4312;584;3
577;1187;5
1150;3504;2
1726;309;1
4784;2763;3
1899;2982;4
2962;1054;2
3491;3032;4
4896;3476;4
4261;1384;1
5037;2232;4
4133;1460;2
149;1090;4
2098;98;4
4266;2520;4
3833;146;3
788;1994;4
2069;3684;3
4156;2218;4
839;2137;4
1675;93;2
1322;909;5
1137;2495;4
5643;2887;4
2826;2206;2
2000;1450;2
3450;1713;4
3688;3697;5
3741;1151;5
1561;1833;4
2962;2941;2
2749;3584;4
3430;1368;3
2895;1629;4
1984;1564;3
2525;2702;5
4161;3269;2
4490;582;3
4328;3199;3
4021;2598;4
859;1473;3
4118;1145;4
138;1018;5
3864;1172;5
5686;2732;1
5933;2559;4
4704;2013;3
5039;1368;2
2181;3038;3
2611;2481;5
3815;1133;5
4945;1181;4
3553;2709;4
245;2782;3
2742;2758;3
2038;1612;2
774;1488;3
3672;864;4
5788;746;4
3687;1143;2
1033;1019;5
3469;1141;5
2103;1732;3
1943;525;4
268;17;3
5345;2280;2
4834;850;4
5900;1779;4
1392;1821;3
2668;2215;4
1723;1786;3
2098;341;4
3651;1161;5
4088;175;4
5268;1460;1
284;10;3
1010;1934;2
1984;1175;4
5604;330;3
2748;538;1
3265;109;3
2178;1841;4
5944;2435;1
4363;1421;4
3475;3219;3
1980;541;3
1354;1925;2
1712;1986;3
1939;2174;5
3895;1588;4
3140;1776;4
3042;1024;4
1053;3465;4
3094;1454;4
3094;1251;5
2634;25;3
2832;1179;3
4522;3584;4
3301;2684;1
4386;225;3
3123;1832;3
1934;1834;3
3465;1;5
721;72;4
2168;1185;5
5675;1407;4
651;3435;3
710;280;4
1142;2711;3
3292;2243;5
1496;2414;3
531;1826;5
1770;2278;3
2941;1191;5
1198;3509;4
4436;2275;4
5493;2420;2
300;2892;4
237;1121;3
5780;679;2
1988;107;2
4816;547;4
5989;2785;3
4725;1029;4
377;1018;5
2419;3587;4
2024;1696;1
36;1784;5
4183;2103;4
5916;2462;3
880;576;5
1181;856;3
3669;3133;4
